學系代碼,學系全稱,學系英文名稱
1010,中國文學系,Chinese Literature
1011,中國文學系國際學生學士班   ,"Bachelor's Degree Program in Chinese Literature for International Students, Department of Chinese Literature"
1020,外國語文學系,Foreign Languages and Literatures
1030,歷史學系,History
1040,哲學系,Philosophy
1050,人類學系,Anthropology
1060,圖書資訊學系,Library and Information Science
1070,日本語文學系,Japanese Language and Literature
1090,戲劇學系,Drama and Theatre
2010,數學系,Mathematics
2020,物理學系,Physics
2030,化學系,Chemistry
2040,地質科學系,Geosciences
2070,心理學系,Psychology
2080,地理環境資源學系,Geography
2090,大氣科學系,Atmospheric Sciences
3020,政治學系,Political Science
3021,政治學系  政治理論組,"Political Science, Political Theory Division"
3022,政治學系  國際關係組,"Political Science, International Relations Division"
3023,政治學系  公共行政組,"Political Science, Public Administration Division"
3030,經濟學系,Economics
3050,社會學系,Sociology
30A0,社會科學院院學士學位,Bachelor of Arts in Interdisciplinary Studies in College of Social Sciences
3100,社會工作學系,Social Work
4010,醫學系,Medicine
4020,牙醫學系,Dentistry
4030,藥學系,Pharmacy
4031,藥學系,Pharmacy
4040,醫學檢驗暨生物技術學系,Clinical Laboratory Sciences and Medical Biotechnology
4060,護理學系,Nursing
4080,物理治療學系,Physical Therapy
4081,物理治療學系,Physical Therapy
4090,職能治療學系,Occupational Therapy
40A0,醫學院院學士,Interdisciplinary Bachelor's Program in College of Medicine
4120,學士後護理學系,Second Degree Bachelor of Science in Nursing
5010,土木工程學系,Civil Engineering
5020,機械工程學系,Mechanical Engineering
5040,化學工程學系,Chemical Engineering
5050,工程科學及海洋工程學系,Engineering Science and Ocean Engineering
5070,材料科學與工程學系,Materials Science and Engineering
5080,醫學工程學系,Biomedical Engineering
5090,智慧工程科技全英語學士學位學程                ,English-Taught Intelligent Engineering and Technology Undergraduate Program                                   
50A0,工學院院學士                                  ,Interdisciplinary Bachelor's Program in College of Engineering
6010,農藝學系,Agronomy
6020,生物環境系統工程學系,Bioenvironmental Systems Engineering
6030,農業化學系,Agricultural Chemistry
6050,森林環境暨資源學系,Forestry and Resource Conservation
6060,動物科學技術學系,Animal Science and Technology
6070,農業經濟學系,Agricultural Economics
6080,園藝暨景觀學系,Horticulture and Landscape Architecture
6090,獸醫學系,Veterinary Medicine
60A0,生物資源暨農學院院學士,Interdisciplinary Bachelor's Program in College of Bioresources and Agriculture
6100,生物產業傳播暨發展學系 ,Bio-Industry Communication and Development    
6110,生物機電工程學系,Biomechatronics Engineering
6120,昆蟲學系,Entomology
6130,植物病理與微生物學系,Plant Pathology and Microbiology
6150,生物科技與食品營養學士學位學程,Bachelor Program of Biotechnology and Food Nutrition                                                          
7010,工商管理學系,Business Administration
7011,工商管理學系  企業管理組,Business Administration - Division of Business Management
7012,工商管理學系  科技管理組,Business Administration - Division of Technology Management
7020,會計學系,Accounting
7030,財務金融學系,Finance
7040,國際企業學系,International Business
7050,資訊管理學系,Information Management
7060,企業管理學系  ,BUSINESS ADMINISTRATION     
8010,公共衛生學系,Public Health
9010,電機工程學系,Electrical Engineering
9020,資訊工程學系,Computer Science & Information Engineering
A011,法律學系  法學組,"Law, Legal Science Division"
A012,法律學系  司法組,"Law, Adjudication Division"
A013,法律學系  財經法學組,"Law, Economic & Financial Laws Division"
B010,生命科學系,Life Science
B020,生化科技學系,Biochemical Science and Technology
B0A0,生命科學院院學士                              ,Interdisciplinary Bachelor's Program in College of Life Science
H040,國際體育運動事務學士學位學程,Bachelor Program of International Sports Affairs
H050,校學士,University Interdisciplinary Bachelor's Program
H060,國際半導體學士學位學程,Global Undergraduate Program in Semiconductors
O010,國際事務處   ,
O020,國際學院,International College
Z010,創新領域學士學位學程,Trans-disciplinary Bachelor Degree Program
